trail_id,name,area_name,city_name,state_name,country_name,_geoloc,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,features,activities,units,lat,lng,summer_temp,winter_temp,annual_rain,annual_snow,dogs-no,forest,river
10020048,harding ice field trail,kenai fjords national park,seward,alaska,united states,"{'lat': 60.18852, 'lng': -149.63156}",24.8931,15610.598,1161.8976,5,out and back,3,5,423,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'trail-running']",i,60.18852,-149.63156,19.6,-14.096,1828.4300000000003,1042.0970000000002,true,true,true
10236086,mount healy overlook trail,denali national park,denali national park,alaska,united states,"{'lat': 63.73049, 'lng': -148.91968}",18.0311,6920.1619999999975,507.7968,3,out and back,1,4.5,260,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'walking']",i,63.73049,-148.91968,21.996,-30.4,400.09,124.16599999999998,true,true,false
10267857,exit glacier trail,kenai fjords national park,seward,alaska,united states,"{'lat': 60.18879, 'lng': -149.631}",17.7821,2896.812,81.9912,1,out and back,3,4.5,224,"['dogs-no', 'partially-paved', 'views', 'wildlife']","['hiking', 'walking']",i,60.18879,-149.631,19.6,-14.096,1828.4300000000003,1042.0970000000002,true,false,false
10236076,horseshoe lake trail,denali national park,denali national park,alaska,united states,"{'lat': 63.73661, 'lng': -148.915}",16.2674,3379.614,119.7864,1,loop,2,4.5,237,"['dogs-no', 'forest', 'lake', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,63.73661,-148.915,22.096000000000004,-30.3,400.09,124.16599999999998,true,true,false
10236082,triple lakes trail,denali national park,denali national park,alaska,united states,"{'lat': 63.73319, 'lng': -148.89682}",12.5935,29772.79,1124.712,5,out and back,1,4.5,110,"['dogs-no', 'lake', 'views', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'trail-running']",i,63.73319,-148.89682,22.296000000000003,-30.2,400.09,124.16599999999998,true,false,false
10241620,bison gulch,denali national park,denali national park,alaska,united states,"{'lat': 63.80507, 'lng': -148.95336}",8.8331,11265.38,1178.9664,5,out and back,1,4.5,43,"['dogs-no', 'forest', 'views', 'wildlife']","['hiking', 'nature-trips']",i,63.80507,-148.95336,21.9,-32.7,400.09,124.16599999999998,true,true,false
10236080,rock creek trail,denali national park,denali national park,alaska,united states,"{'lat': 63.73056, 'lng': -148.91955}",7.6876,7081.096,287.7312,3,out and back,1,4,39,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,63.73056,-148.91955,21.996,-30.4,400.09,124.16599999999998,true,true,false
10236075,taiga trail,denali national park,denali national park,alaska,united states,"{'lat': 63.73043, 'lng': -148.91922}",5.9038,2574.944,62.7888,3,loop,1,4,27,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,63.73043,-148.91922,21.996,-30.4,400.09,124.16599999999998,true,true,false
10236084,mckinley station trail,denali national park,denali national park,alaska,united states,"{'lat': 63.73324, 'lng': -148.89659}",5.8885,4667.085999999998,113.9952,1,loop,1,4.5,21,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,63.73324,-148.89659,22.296000000000003,-30.1,400.09,124.16599999999998,true,true,false
10327620,mount thorofare ridge loop,denali national park,cantwell,alaska,united states,"{'lat': 63.43108, 'lng': -150.31096}",5.799,6598.294,507.7968,5,loop,1,4.5,5,"['forest', 'views', 'wild-flowers', 'wildlife']",['hiking'],i,63.43108,-150.31096,16.6,-29.596,509.07,291.69,false,true,false
10265252,mckinley bar trail,denali national park,denali national park,alaska,united states,"{'lat': 63.45799, 'lng': -150.85}",5.6536,7402.964,295.9608,1,out and back,2,4,17,"['dogs-no', 'lake', 'kids', 'river', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,63.45799,-150.85,19.5,-29.196,523.97,148.652,true,false,true
10333556,tiaga loop and horseshoe lake trail to beaver dam,denali national park,denali national park,alaska,united states,"{'lat': 63.73128, 'lng': -148.9171}",4.6043,4828.02,158.8008,3,loop,2,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",i,63.73128,-148.9171,22.096000000000004,-30.4,400.09,124.16599999999998,true,true,false
10265251,blueberry hill trail,denali national park,denali national park,alaska,united states,"{'lat': 63.49541, 'lng': -150.88137}",4.1956,1448.406,46.9392,3,out and back,2,4.5,6,"['dogs-no', 'lake', 'views', 'wildlife']",['hiking'],i,63.49541,-150.88137,19.6,-29.4,787.82,282.926,true,false,false
10393562,stampede trail to sushana river,denali national park,healy,alaska,united states,"{'lat': 63.88374, 'lng': -149.26764}",3.958,61476.788,1292.9616,5,out and back,1,4.5,3,"['historic-site', 'river', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking', 'nature-trips']",i,63.88374,-149.26764,21.2,-35.196,400.09,124.16599999999998,false,false,true
10262541,bartlett cove forest loop trail,glacier bay national park,gustavus,alaska,united states,"{'lat': 58.45462, 'lng': -135.88312}",3.8939,1770.274,33.8328,1,loop,2,4.5,14,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking', 'sea-kayaking']",i,58.45462,-135.88312,19.196000000000005,-10.7,2263,376.208,true,false,false
10358126,camp ridge trail,denali national park,denali national park,alaska,united states,"{'lat': 63.52451, 'lng': -150.96072}",3.6654,6759.228,538.8864,5,out and back,1,5,8,"['dogs-no', 'forest', 'views', 'wildlife']","['hiking', 'trail-running']",i,63.52451,-150.96072,21.096000000000004,-30.7,1111.1,300.762,true,true,false
10236078,jonesville trail,denali national park,denali national park,alaska,united states,"{'lat': 63.73334, 'lng': -148.89618}",3.4891,1448.406,52.7304,1,out and back,1,4,11,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,63.73334,-148.89618,22.296000000000003,-30.2,400.09,124.16599999999998,true,true,false
10343441,roadside trail,denali national park,denali national park,alaska,united states,"{'lat': 63.73034, 'lng': -148.91945}",3.3846,5471.755999999999,214.884,1,out and back,2,4,13,"['forest', 'kids', 'wildlife']","['hiking', 'trail-running']",i,63.73034,-148.91945,21.996,-30.4,400.09,124.16599999999998,false,true,false
10023165,quigley ridge trail,denali national park,denali national park,alaska,united states,"{'lat': 63.52444, 'lng': -150.96015}",3.304,14644.994,730.9104,3,out and back,2,4.5,5,"['dogs-no', 'views']","['hiking', 'trail-running', 'canoeing']",i,63.52444,-150.96015,21.096000000000004,-30.7,1111.1,300.762,true,false,false
10333569,bison gulch to denali visitors center,denali national park,denali national park,alaska,united states,"{'lat': 63.80495, 'lng': -148.95416}",2.7746,15771.532,1385.9256,5,point to point,2,5,5,"['dogs-no', 'views']","['hiking', 'nature-trips']",i,63.80495,-148.95416,21.996,-32.7,400.09,124.16599999999998,true,false,false
10347459,brooks falls,katmai national park,king salmon,alaska,united states,"{'lat': 58.55986, 'lng': -155.77752}",2.4937,4667.085999999998,63.7032,1,out and back,2,4.5,4,"['forest', 'river', 'views', 'waterfall', 'wildlife']","['hiking', 'walking']",i,58.55986,-155.77752,21.4,-23.7,716.33,186.158,false,true,true
